trial  | height    Pitch     Roll   | Height_Change   P_Change   R_Change    | rotorFL    rotorFR    rotorBL    rotorBR

0      |  0        10        10      |  500          -5          -5        |  255          255          255          255
1      |  20        10        10      |  400          -5          -5        |  255          255          255          255
2      |  41        10        10      |  395          -6          -6        |  255          255          255          255
3      |  61        10        10      |  375          -7          -7        |  255          255          255          255
4      |  82        10        10      |  329          -8          -8        |  255          255          255          255
5      |  102        10        10      |  268          -9          -9        |  255          255          250          255
6      |  122        7        7      |  186          -8.5          -8.5        |  186          203          169          186
7      |  136        -9        -9      |  114          -1.5          -1.5        |  114          117          111          114
8      |  142        -12        -12      |  62          -0.7          -0.7        |  62          63.4          60.6          62
9      |  143        -14        -14      |  21          1.2          1.2        |  21          18.6          23.4          21
10      |  140        -11        -11      |  -6          0.9          0.9        |  0          0          0          0
11      |  135        -11        -11      |  -24          2.3          2.3        |  0          0          0          0
12      |  130        -11        -11      |  -39          3.4          3.4        |  0          0          0          0
13      |  125        -11        -11      |  -49          4.5          4.5        |  0          0          0          0
14      |  120        -11        -11      |  -54          5.6          5.6        |  0          0          0          0
15      |  115        -11        -11      |  -54          6.7          6.7        |  0          0          0          0
16      |  110        -11        -11      |  -49          7.8          7.8        |  0          0          0          0
17      |  105        -11        -11      |  -39          8.9          8.9        |  0          0          0          0
18      |  100        -11        -11      |  -24          10          10        |  0          0          0          0
19      |  95        -11        -11      |  -4          11.1          11.1        |  0          0          18.2          0
20      |  91        -2        -2      |  16          7.7          7.7        |  16          0.599999          31.4          16
21      |  87        13        13      |  41          1.3          1.3        |  41          38.4          43.6          41
22      |  86        15        15      |  55          0.5          0.5        |  55          54          56          55
23      |  87        16        16      |  63          -1.3          -1.3        |  63          65.6          60.4          63
24      |  88        14        14      |  72          -1.8          -1.8        |  72          75.6          68.4          72
25      |  90        10        10      |  75          -1.4          -1.4        |  75          77.8          72.2          75
26      |  93        8        8      |  72          -1.8          -1.8        |  72          75.6          68.4          72
27      |  95        4        4      |  72          -0.8          -0.8        |  72          73.6          70.4          72
28      |  97        3        3      |  69          -1.1          -1.1        |  69          71.2          66.8          69
29      |  99        0        0      |  64          0          0        |  64          64          64          64
30      |  100        0        0      |  62          -0.3          -0.3        |  62          62.6          61.4          62
31      |  101        0        0      |  58          -0.3          -0.3        |  58          58.6          57.4          58
32      |  102        0        0      |  53          -0.3          -0.3        |  53          53.6          52.4          53
33      |  102        -1        -1      |  52          0.2          0.2        |  52          51.6          52.4          52
34      |  102        0        0      |  50          -0.3          -0.3        |  50          50.6          49.4          50
35      |  102        -1        -1      |  48          0.3          0.3        |  48          47.4          48.6          48
36      |  102        0        0      |  46          -0.2          -0.2        |  46          46.4          45.6          46
37      |  101        -1        -1      |  49          0.4          0.4        |  49          48.2          49.8          49
38      |  101        0        0      |  47          -0.1          -0.1        |  47          47.2          46.8          47
39      |  101        -1        -1      |  46          0.5          0.5        |  46          45          47          46
40      |  100        0        0      |  50          0          0        |  50          50          50          50
41      |  100        0        0      |  49          0.1          0.1        |  49          48.8          49.2          49
42      |  100        0        0      |  49          0.1          0.1        |  49          48.8          49.2          49
43      |  100        1        1      |  49          -0.4          -0.4        |  49          49.8          48.2          49
44      |  100        0        0      |  49          0.1          0.1        |  49          48.8          49.2          49
45      |  99        1        1      |  54          -0.5          -0.5        |  54          55          53          54
46      |  100        0        0      |  49          0          0        |  49          49          49          49
47      |  100        0        0      |  50          -0.1          -0.1        |  50          50.2          49.8          50
48      |  100        0        0      |  50          -0.1          -0.1        |  50          50.2          49.8          50
49      |  99        -1        -1      |  55          0.4          0.4        |  55          54.2          55.8          55
50      |  100        0        0      |  50          -0.1          -0.1        |  50          50.2          49.8          50
51      |  100        -1        -1      |  51          0.5          0.5        |  51          50          52          51
52      |  100        0        0      |  51          0          0        |  51          51          51          51
53      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
54      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
55      |  100        1        1      |  51          -0.4          -0.4        |  51          51.8          50.2          51
56      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
57      |  100        1        1      |  51          -0.5          -0.5        |  51          52          50          51
58      |  100        0        0      |  51          0          0        |  51          51          51          51
59      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
60      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
61      |  100        -1        -1      |  51          0.4          0.4        |  51          50.2          51.8          51
62      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
63      |  100        -1        -1      |  51          0.5          0.5        |  51          50          52          51
64      |  100        0        0      |  51          0          0        |  51          51          51          51
65      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
66      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
67      |  100        1        1      |  51          -0.4          -0.4        |  51          51.8          50.2          51
68      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
69      |  100        1        1      |  51          -0.5          -0.5        |  51          52          50          51
70      |  100        0        0      |  51          0          0        |  51          51          51          51
71      |  101        0        0      |  46          -0.1          -0.1        |  46          46.2          45.8          46
72      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
73      |  100        -1        -1      |  50          0.4          0.4        |  50          49.2          50.8          50
74      |  100        0        0      |  50          -0.1          -0.1        |  50          50.2          49.8          50
75      |  100        -1        -1      |  50          0.5          0.5        |  50          49          51          50
76      |  100        0        0      |  50          0          0        |  50          50          50          50
77      |  100        0        0      |  50          0.1          0.1        |  50          49.8          50.2          50
78      |  100        0        0      |  50          0.1          0.1        |  50          49.8          50.2          50
79      |  100        1        1      |  50          -0.4          -0.4        |  50          50.8          49.2          50
80      |  100        0        0      |  50          0.1          0.1        |  50          49.8          50.2          50
81      |  99        1        1      |  55          -0.5          -0.5        |  55          56          54          55
82      |  100        0        0      |  50          0          0        |  50          50          50          50
83      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
84      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
85      |  100        -1        -1      |  51          0.4          0.4        |  51          50.2          51.8          51
86      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
87      |  100        -1        -1      |  51          0.5          0.5        |  51          50          52          51
88      |  100        0        0      |  51          0          0        |  51          51          51          51
89      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
90      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
91      |  100        1        1      |  51          -0.4          -0.4        |  51          51.8          50.2          51
92      |  100        0        0      |  51          0.1          0.1        |  51          50.8          51.2          51
93      |  100        1        1      |  51          -0.5          -0.5        |  51          52          50          51
94      |  100        0        0      |  51          0          0        |  51          51          51          51
95      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
96      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
97      |  100        -1        -1      |  51          0.4          0.4        |  51          50.2          51.8          51
98      |  100        0        0      |  51          -0.1          -0.1        |  51          51.2          50.8          51
99      |  100        -1        -1      |  51          0.5          0.5        |  51          50          52          51
